imdb_id,title,original_title,overview,poster_link
tt0974015,Justice League,Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
tt4372240,78/52,78/52,78 shots. 52 cuts. The shower scene from PSYCHO.,https://m.media-amazon.com/images/M/MV5BMTg2NjMzMDAxMl5BMl5BanBnXkFtZTgwMDkxOTY0MzI@._V1_SX300.jpg
tt5726616,Call Me by Your Name,Call Me by Your Name,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",https://m.media-amazon.com/images/M/MV5BNDk3NTEwNjc0MV5BMl5BanBnXkFtZTgwNzYxNTMwMzI@._V1_SX300.jpg
tt3501632,Thor: Ragnarok,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg
tt6333058,Dina,Dina,"Dina, an outspoken and eccentric 49-year-old in suburban Philadelphia, invites her fiancv Scott, a Walmart door greeter, to move in with her. Having grown up neurologically diverse in a world blind to the value of their experience, the two are head-over-heels for one another, but shacking up poses a new challenge. Scott freezes when it comes to physical intimacy, and Dina, a Kardashians fanatic, wants nothing more than to share with Scott all she‚ learned about sensual desire from books, TV shows, and her previous marriage. Her increasingly creative forays to draw Scott close keep hitting roadblocks‚exposing anxieties, insecurities, and communication snafus while they strive to reconcile their conflicting approaches to romance and intimacy.",https://m.media-amazon.com/images/M/MV5BNGNlMWMzNDItODg3Ny00MzUzLTk1MjQtNDhjZTg1NjRjMDk4XkEyXkFqcGdeQXVyNzk1Mzg3NTY@._V1_SX300.jpg
tt1724970,Beyond Skyline,Beyond Skyline,A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.,https://m.media-amazon.com/images/M/MV5BNDBlMzY1MmMtMWUwMS00ODk5LWJiZDUtN2ZmZjJjYTRhMmNhXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg
tt5816564,Resurrecting Hassan,Resurrecting Hassan,"Traces the lives of the Hartings, a blind Montreal family of three who make their living singing in the city's subway stations. The Hartings lost their only sighted child Hassan in a tragic drowning accident, and have since turned to the teachings of Russian mystic Grigori Grabovoi, hoping to resurrect their son. Resurrecting Hassan is an exploration of this family's legacy of grief, tragedy and abuse; the film will follow them on their path to redemption.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2I4YTU3YjQtZjFhNS00Njk1LWE0MGItNzgwMDAzZGNkMDQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjc2MTk3MTE@._V1_SX300.jpg
tt4446472,Porto,Porto,"Jake and Mati are two outsiders in the northerly Portuguese city of Porto who once experienced a brief connection. A mystery remains about the moments they shared, and in searching through memories, they relive the depths of a night uninhibited by the consequences of time.",https://m.media-amazon.com/images/M/MV5BNzcyYjQ5MDgtZDU0NC00YjA4LWIxOTQtZDE1YTVmNzk3ZThlXkEyXkFqcGdeQXVyODM3MjA1NA@@._V1_SX300.jpg
tt2620590,Leatherface,Leatherface,"A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of these teens is destined for tragedy and horrors that will destroy his mind, molding him into the monster we now call Leatherface.",https://m.media-amazon.com/images/M/MV5BMjEyMDE1MzE1NF5BMl5BanBnXkFtZTgwMzcwNTU1MzI@._V1_SX300.jpg
tt5635086,God's Own Country,God's Own Country,A Yorkshire farmer develops a relationship with a Romanian migrant worker.,https://m.media-amazon.com/images/M/MV5BNjRhYzk2NDAtYzA1Mi00MmNmLWE1ZjQtMDBhZmUyMTdjZjBiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
tt6193424,The Trip to Spain,The Trip to Spain,Steve Coogan and Rob Brydon embark on a road trip along the coast of Spain.,https://m.media-amazon.com/images/M/MV5BZWY4ODYzMzYtN2I3Ny00NDkzLWFmNGQtZWVmZWNkYzU5ZjBkXkEyXkFqcGdeQXVyMzExMTY0MjU@._V1_SX300.jpg
tt4536768,Science Fiction Volume One: The Osiris Child,Science Fiction Volume One: The Osiris Child,"Set in the future in a time of interplanetary colonization, an unlikely pair race against an impending global crisis and are confronted by the monsters that live inside us all.",https://m.media-amazon.com/images/M/MV5BNzY3NGI5MTItZDg5OC00MTJjLTgyZTgtN2Q3ZTA3NzRlNmI3XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg
tt7158814,LEGO DC Super Hero Girls: Brain Drain,LEGO DC Super Hero Girls: Brain Drain,"When Supergirl, Wonder Woman, Batgirl, Bumblebee and Katana suddenly realize they cannot remember a single moment from their Monday at Super Hero High, the young DC Super Heroes spring into sleuthing action! Suspecting foul-play, they band together to retrace their steps and uncover the mystery of who exactly stole their memories ‚ and what nefarious plan might be afoot?",https://m.media-amazon.com/images/M/MV5BZjYwODBmMDMtZDhlMy00MmRhLWE3YmUtOGNmMWQwOWMyYzI4XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_SX300.jpg
tt1536537,What Happened to Monday,What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",https://m.media-amazon.com/images/M/MV5BMjE4MDQxMDg3MF5BMl5BanBnXkFtZTgwNjQ0MTcwMzI@._V1_SX300.jpg
tt6288250,Patti Cake$,Patti Cake$,"Straight out of Jersey comes Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, an aspiring rapper fighting through a world of strip malls and strip clubs on an unlikely quest for glory.",https://m.media-amazon.com/images/M/MV5BOTZiNGIxNzgtMGUyMy00Y2IwLWI0Y2QtN2FhNWNhNjcyODM5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_SX300.jpg
tt5962210,Ingrid Goes West,Ingrid Goes West,"Ingrid becomes obsessed with a social network star named Taylor Sloane who seemingly has a perfect life. But when Ingrid decides to drop everything and move west to be Taylor's friend, her behaviour turns unsettling and dangerous.",https://m.media-amazon.com/images/M/MV5BNzE3Mzc5NTc4M15BMl5BanBnXkFtZTgwMDYwNzM3MjI@._V1_SX300.jpg
tt4846232,Good Time,Good Time,A bank robber tries to avoid the law closing in on him.,https://m.media-amazon.com/images/M/MV5BNGQ3Y2VjNmUtMDdiMC00YTE1LWI5NmUtZDIzMTJmODQyNDU4XkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg
tt2378507,The Glass Castle,The Glass Castle,"A young girl is raised in a dysfunctional family constantly on the run from the FBI. Living in poverty, she comes of age guided by her drunkard, ingenious father who distracts her with magical stories to keep her mind off the family's dire state, and her selfish, nonconformist mother who has no intention of raising a family, along with her younger brother and sister, and her other older sister. Together, they fend for each other as they mature in an unorthodox journey that is their family life.",https://m.media-amazon.com/images/M/MV5BMTY2Nzk0MDE3Nl5BMl5BanBnXkFtZTgwOTI0ODc0MjI@._V1_SX300.jpg
tt6794380,A Gray State,A Gray State,"In 2010 David Crowley, an Iraq veteran, aspiring filmmaker and charismatic up-and-coming voice in fringe politics, began production on his film Gray State. Set in a dystopian near-future where civil liberties are trampled by an unrestrained federal government, the film‚ crowd funded trailer was enthusiastically received by the burgeoning online community of libertarians, Tea Party activists and members of the nascent alt-right. In January of 2015, Crowley was found dead with his family in their suburban Minnesota home. Their shocking deaths quickly become a cause cvlvbre for conspiracy theorists who speculate that Crowley was assassinated by a shadowy government concerned about a film and filmmaker that was getting too close to the truth about their aims.",https://m.media-amazon.com/images/M/MV5BYTljYjNkMTgtZTY4NS00NjhmLWIzMjMtNGI1MzUyMTgxZWM3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
tt1458169,Kidnap,Kidnap,"Single mother Karla McCoy lives a perfect life with her young son Frankie. One day, upon entering a local park, Karla sees her son suddenly being abducted out of the blue by a kidnapper. To save Frankie from being taken, Karla goes out on a mission to demand people in the city to help rescue her son.",https://m.media-amazon.com/images/M/MV5BOTZjNzFmN2YtZjExNS00ZTM0LTk4ZTEtMWJmNjA1ZTQyYWNiXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
tt5990474,Columbus,Columbus,"A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.",https://m.media-amazon.com/images/M/MV5BNTliZmExNmItZDJhZS00MjBjLThiMmEtZTJhZjNlMTMwYzk3XkEyXkFqcGdeQXVyMzI3NjY2ODc@._V1_SX300.jpg
tt4460854,Chronically Metropolitan,Chronically Metropolitan,"A cynical and clever coming of age film about first time novelist Fenton Dillane, who, unannounced returns to New York City to confront his family, his ex- girlfriend and a few lingering childhood fears.",https://m.media-amazon.com/images/M/MV5BMTAxOTI5MjczMDdeQTJeQWpwZ15BbWU4MDAyNzYyMDgx._V1_SX300.jpg
tt5362988,Wind River,Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,https://m.media-amazon.com/images/M/MV5BMTUyMjU1OTUwM15BMl5BanBnXkFtZTgwMDg1NDQ2MjI@._V1_SX300.jpg
tt1648190,The Dark Tower,The Dark Tower,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O‚aDim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",https://m.media-amazon.com/images/M/MV5BMTU3MjUwMzQ3MF5BMl5BanBnXkFtZTgwMjcwNjkxMjI@._V1_SX300.jpg
tt1724597,London Town,London Town,A 14-year old boy‚ life changes forever when his estranged mother introduces him to the music of The Clash in 1979 London.,https://m.media-amazon.com/images/M/MV5BMTc3NjU2MjYzOV5BMl5BanBnXkFtZTgwMTk4NzgwMDI@._V1_SX300.jpg
tt5207262,Hostages,Hostages,"Movie describes real events that took place in 1983 when seven young Georgians, all from intellectual elite families, attampted to flee the Soviet Union by hijacking an airliner. The crisis ended with a storming of the airliner by Soviet special forces that resulted in eight dead. The surviving hijackers were subsequently tried and executed.",https://m.media-amazon.com/images/M/MV5BNTU3Njc1ZjEtMDU5ZC00ODIwLTk0NjItMzhlMzZmYWY1MWZhXkEyXkFqcGdeQXVyMTY3MjMxMjY@._V1_SX300.jpg
tt6014472,S.W.A.T.: Under Siege,S.W.A.T.: Under Siege,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as ‚The Scorpion‚ for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, it‚ up to him and his expert S.W.A.T. team to keep ‚The Scorpion‚ and his billion dollar secrets safe.",https://m.media-amazon.com/images/M/MV5BZTFjMjZkNjEtZmY4OC00YTk1LWFkYzQtY2RiNjQxNDA1ZWQ2XkEyXkFqcGdeQXVyNDA4OTExNDU@._V1_SX300.jpg
tt6212210,Cop and a Half: New Recruit,Cop and a Half: New Recruit,"In this family-friendly action reboot of the 1993 film, Karina Foley, an ambitious and spunky 12-year-old, inserts herself in a police investigation of the Badge Bandit, led by the grizzled, veteran detective Mark Simmons. Much to Simmons' disapproval, Karina partners up with him to stop the Badge Bandit from further wreaking havoc on the city. Through wit, skill, and green smoothies, Karina and Detective Simmons save the day and build a strong relationship in the process.",https://m.media-amazon.com/images/M/MV5BYzlkZTY5MmItMzgzMS00ZmU1LTg5MmEtNGE1MjExMzFkYmM4XkEyXkFqcGdeQXVyMTQ2ODk1NQ@@._V1_SX300.jpg
tt5815944,Tokyo Ghoul,Êù±‰∫¨Âñ∞Á®Æ „Éà„Éº„Ç≠„Éß„Éº„Ç∞„Éº„É´,"Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize, a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.",https://m.media-amazon.com/images/M/MV5BMzM3ZTczNmYtYjAyOS00YTc4LWExNTQtNjdkZWRiM2VkODVlXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg
tt4877122,The Emoji Movie,The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",https://m.media-amazon.com/images/M/MV5BMTkzMzM3OTM2Ml5BMl5BanBnXkFtZTgwMDM0NDU3MjI@._V1_SX300.jpg
tt5390504,Detroit,Detroit,A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.,https://m.media-amazon.com/images/M/MV5BMTg4MDk4MTUxMF5BMl5BanBnXkFtZTgwNDE5NjA5MjI@._V1_SX300.jpg
tt6322922,An Inconvenient Sequel: Truth to Power,An Inconvenient Sequel: Truth to Power,"A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes‚in moments private and public, funny and poignant‚as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion.",https://m.media-amazon.com/images/M/MV5BNTkzNTQ0MzA3Ml5BMl5BanBnXkFtZTgwNzg4OTcyMjI@._V1_SX300.jpg
tt5715410,The Son of Bigfoot,The Son of Bigfoot,"Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!",https://m.media-amazon.com/images/M/MV5BNWE4ZGU0ZjItZjgwMi00YzEyLTkzMWMtZDkwMjRhNDU5MzBjL2ltYWdlXkEyXkFqcGdeQXVyNjQzMzk3MTY@._V1_SX300.jpg
tt5805752,Brigsby Bear,Brigsby Bear,"Brigsby Bear Adventures is a children's TV show produced for an audience of one: James. When the show abruptly ends, James's life changes forever, and he sets out to finish the story himself.",https://m.media-amazon.com/images/M/MV5BZTVmZWFjNjktZGU2NC00NDM5LWEwM2ItMTFmODk2N2FlYmI4XkEyXkFqcGdeQXVyODIzMzU2Mzk@._V1_SX300.jpg
tt2406566,Atomic Blonde,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,https://m.media-amazon.com/images/M/MV5BMjM5NDYzMzg5N15BMl5BanBnXkFtZTgwOTM2NDU1MjI@._V1_SX300.jpg
tt4464394,The Gracefield Incident,The Gracefield Incident,"On August 16, 2013, the Supreme Court mandated the CIA to declassify files that had been kept secret for the past 75 years. Visual records of documented paranormal events were released to the public. The following incident took place in Gracefield, Quebec.",https://m.media-amazon.com/images/M/MV5BNzg1MGE5YzUtMmRmOC00MWVmLWE3M2MtNTg2YmI1NzZmNTliXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg
tt5737862,Landline,Landline,A teenager living with her sister and parents in Manhattan during the 1990s discovers that her father is having an affair.,https://m.media-amazon.com/images/M/MV5BMjQzODc2MzQ4MV5BMl5BanBnXkFtZTgwNTU4MjU1MjI@._V1_SX300.jpg
tt3564472,Girls Trip,Girls Trip,"Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.",https://m.media-amazon.com/images/M/MV5BMjMwNTEzODUwMV5BMl5BanBnXkFtZTgwNjE5NjA5MjI@._V1_SX300.jpg
tt5884234,First Kill,First Kill,A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage.,https://m.media-amazon.com/images/M/MV5BNDE1YjU5YzYtYTdmYi00NjkzLThiZTItMTQ5NzMxZTNiMzdiXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg
tt5117876,Descendants 2,Descendants 2,"When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursula's daughter, has taken her spot as self-proclaimed queen.",https://m.media-amazon.com/images/M/MV5BMjI5MTA4MTk2N15BMl5BanBnXkFtZTgwNjY2NDUwMjI@._V1_SX300.jpg
tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",https://m.media-amazon.com/images/M/MV5BMTkxMDAxNDUyNV5BMl5BanBnXkFtZTgwOTc3MzcxMjI@._V1_SX300.jpg
tt5013056,Dunkirk,Dunkirk,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg
tt5226512,Feed,Feed,"Olivia and Matthew Grey, 18-year-old twins born into a world of privilege and high expectations. There are almost no boundaries between them - even their dreams are connected.",https://m.media-amazon.com/images/M/MV5BOTJlNmE1MWItNzE1OC00NWRkLTgwMmQtODk4NDY3ZTllNTc4XkEyXkFqcGdeQXVyNjkxMzgzODU@._V1_SX300.jpg
tt6333056,City of Ghosts,City of Ghosts,"With unprecedented access, this documentary follows the extraordinary journey of ‚Raqqa is Being Slaughtered Silently‚‚a group of anonymous citizen journalists who banded together after their homeland was overtaken by ISIS‚as they risk their lives to stand up against one of the greatest evils in the world today.",https://m.media-amazon.com/images/M/MV5BMGJiMjBlYTQtOTRkNS00NmNkLTk0MWYtZjMyMzIzZjAxOGNhXkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg
tt4633690,Shot Caller,Shot Caller,A newly-released prison gangster is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,https://m.media-amazon.com/images/M/MV5BMGY0YTM3MjItZmExMy00NDgyLThjNzUtZWQ1MzY2NGRmMjZhXkEyXkFqcGdeQXVyMzYyMzE1NjA@._V1_SX300.jpg
tt5778384,Blockbuster,–ë–ª–æ–∫–±–∞—Å—Ç–µ—Ä,A wannabe model from a small Russian town robs a local bank to fund her modeling career.,https://m.media-amazon.com/images/M/MV5BYjEwMDZhYTMtZjIwNi00MzExLTg4ZWEtODU5MjUxZDYxMGNjXkEyXkFqcGdeQXVyNTYwOTkwMTk@._V1_SX300.jpg
tt7078780,Zygote,Zygote,"Stranded in an Arctic mine, two survivors are forced to fight for their lives against a new kind of terror.",https://m.media-amazon.com/images/M/MV5BOTI5ZTcxMzItZDM1Ny00YTZlLWIwY2MtNjM2MjVhODliMjllXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_SX300.jpg
tt5540188,The Nile Hilton Incident,The Nile Hilton Incident,"In Cairo, weeks before the 2011 revolution, Police Detective Noredin is working in the infamous Kasr el-Nil Police Station when he is handed the case of a murdered singer. He soon realizes that the investigation concerns the power elite, close to the President‚ inner circle.",https://m.media-amazon.com/images/M/MV5BMDhmMWQyNjUtZTM5NC00MThhLWEyNzktOTM2ZTYzZWU5MGYyXkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_SX300.jpg
tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg
tt2569088,The Saint,The Saint,"International master thief, Simon Templar, also known as The Saint, is asked by a desperate rich man to find his kidnapped daughter. However, in addition to evading the authorities, Simon must face a dangerous adversary from his past.",https://m.media-amazon.com/images/M/MV5BNGI4NDBmZmUtZTM2ZS00MjBlLTg1ZjEtNDc1MWY4Y2VhMGM2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
tt5886510,Tour de Pharmacy,Tour de Pharmacy,A mockumentary that chronicles the prevalence of doping in the world of professional cycling.,https://m.media-amazon.com/images/M/MV5BN2Q4NWM0ZjMtODNiNC00N2ZhLThmZDUtNTI1YThiYjg1Y2JkXkEyXkFqcGdeQXVyMTY5OTQzNzY@._V1_SX300.jpg
tt5322012,Wish Upon,Wish Upon,"A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.",https://m.media-amazon.com/images/M/MV5BOGQxN2NlMWItNzMyOC00ODYxLThkNDktMWQ0ZjA2MjQyYjIwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg
tt3467914,Tommy's Honour,Tommy's Honour,"In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honor - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzA4OTQ4NTc3OF5BMl5BanBnXkFtZTgwMzIwMzY2MDI@._V1_SX300.jpg
tt5690142,Mom,Maa,"The bliss of a biology teacher‚ family life in Delhi is shattered when her daughter, Arya  is physically assaulted by Jagan and gang. Does Devki Sabarwal wait for the law to take its course? Or does Devki become Maa Durga and hunt down the perpetrators of the crime?",https://m.media-amazon.com/images/M/MV5BOTc0YTJhZDktMGViYi00NjIwLThiMDEtY2E4NWFkYWQxNjQ5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
tt6334884,Hickok,Hickok,"Legendary Lawman and Gunslinger Wild Bill Hickok, is tasked with taming the wildest cow-town in the West, while delivering his own brand of frontier Justice and infamous gunfighter's reputation as the fastest draw in the West is put to the test",https://m.media-amazon.com/images/M/MV5BMDQ1Mjk1MjAtYjRiOC00ZjQyLTgxZDctYmE4YjY1YTg1ZThjXkEyXkFqcGdeQXVyMzY0MzA3NTg@._V1_SX300.jpg
tt4723724,Do You Take This Man,Do You Take This Man,"When a gay couple's impending wedding hits a snag, the grooms must rely on their friends and family to see them through.",https://m.media-amazon.com/images/M/MV5BNjkyZDk2MzYtOWU4OC00MzYxLWFmN2EtN2Q1YTJkNDU3NjEwXkEyXkFqcGdeQXVyNjg0ODE1ODE@._V1_SX300.jpg
